$VISION
* File: C:\Users\gdt5762\Documents\MyFirstSim.inpx
* Comment: 
* Date: 5/2/2021 12:40:21 PM
* PTV Vissim: 2020.00 [13]
* 
* Table: Vehicles In Network
* 
* SIMSEC: SimSec, Simulation second (Simulation time [s]) [s]
* NO: No, Number (Unique vehicle number)
* COORDFRONTX: CoordFrontX, Coordinate front (x) (X-coordinate of vechicle’s front end)
* COORDFRONTY: CoordFrontY, Coordinate front (y) (Y-coordinate of vechicle’s front end)
* COORDFRONTZ: CoordFrontZ, Coordinate front (z) (Z-coordinate of vechicle’s front end) [m]
* SPEED: Speed, Speed (Speed at the end of the time step) [km/h]
* ORIENTATIONANGLE: OrientationAngle, Orientation angle
* 
* SimSec;No;CoordFrontX;CoordFrontY;CoordFrontZ;Speed;OrientationAngle
* Simulation second;Number;Coordinate front (x);Coordinate front (y);Coordinate front (z);Speed;Orientation angle
*
$VEHICLE:SIMSEC;NO;COORDFRONTX;COORDFRONTY;COORDFRONTZ;SPEED;ORIENTATIONANGLE
7.40;7;209.902;135.203;0.000;53.45;181.07
7.40;8;-99.522;122.940;0.000;49.88;0.25
7.50;1;2.548;123.565;0.000;56.75;1.53
7.50;2;84.659;211.246;0.000;51.05;247.52
7.50;3;151.472;134.110;0.000;55.27;181.07
7.50;4;91.547;227.407;0.000;51.23;246.13
7.50;5;-58.953;123.115;0.000;55.79;0.25
7.50;6;189.074;134.813;0.000;53.15;181.07
7.50;7;208.418;135.175;0.000;53.44;181.07
7.50;8;-98.136;122.946;0.000;49.92;0.25
7.60;1;4.123;123.607;0.000;56.68;1.53
7.60;2;84.120;209.935;0.000;51.05;247.57
7.60;3;149.936;134.081;0.000;55.28;181.07
7.60;4;90.971;226.106;0.000;51.23;246.13
7.60;5;-57.403;123.122;0.000;55.85;0.25
7.60;6;187.598;134.786;0.000;53.15;181.07
7.60;7;206.934;135.147;0.000;53.44;181.07
7.60;8;-96.749;122.952;0.000;49.95;0.25
7.70;1;5.696;123.649;0.000;56.62;1.54
7.70;2;83.581;208.623;0.000;51.05;247.59
7.70;3;148.401;134.053;0.000;55.30;181.07
7.70;4;90.395;224.805;0.000;51.23;246.13
7.70;5;-55.851;123.128;0.000;55.91;0.25
7.70;6;186.122;134.758;0.000;53.15;181.07
7.70;7;205.449;135.120;0.000;53.44;181.07
7.70;8;-95.361;122.958;0.000;49.99;0.25
7.80;1;7.267;123.691;0.000;56.55;1.54
7.80;2;83.042;207.312;0.000;51.05;247.61
7.80;3;146.865;134.024;0.000;55.31;181.07
7.80;4;89.819;223.503;0.000;51.22;246.13
7.80;5;-54.297;123.135;0.000;55.97;0.25
7.80;6;184.646;134.730;0.000;53.15;181.07
7.80;7;203.965;135.092;0.000;53.44;181.07
7.80;8;-93.972;122.964;0.000;50.03;0.25
7.90;1;8.836;123.734;0.000;56.49;1.54
7.90;2;82.503;206.000;0.000;51.05;247.62
7.90;3;145.329;133.995;0.000;55.32;181.07
7.90;4;89.244;222.202;0.000;51.22;246.13
7.90;5;-52.741;123.142;0.000;56.04;0.25
7.90;6;183.169;134.703;0.000;53.15;181.07
7.90;7;202.481;135.064;0.000;53.44;181.07
7.90;8;-92.582;122.970;0.000;50.07;0.25
8.00;1;10.404;123.776;0.000;56.42;1.54
8.00;2;81.964;204.689;0.000;51.05;247.63
8.00;3;143.792;133.966;0.000;55.34;181.07
8.00;4;88.668;220.901;0.000;51.22;246.13
8.00;5;-51.184;123.148;0.000;56.10;0.25
8.00;6;181.693;134.675;0.000;53.15;181.07
8.00;7;200.997;135.036;0.000;53.44;181.07
8.00;8;-91.190;122.976;0.000;50.11;0.25
8.10;1;11.970;123.818;0.000;56.35;1.54
8.10;2;81.424;203.377;0.000;51.05;247.63
8.10;3;142.255;133.938;0.000;55.35;181.07
8.10;4;88.092;219.600;0.000;51.21;246.13
8.10;5;-49.625;123.155;0.000;56.16;0.25
8.10;6;180.217;134.648;0.000;53.15;181.07
8.10;7;199.513;135.008;0.000;53.44;181.07
8.10;8;-89.798;122.982;0.000;50.15;0.25
8.20;1;13.533;123.860;0.000;56.29;1.54
8.20;2;80.885;202.066;0.000;51.05;247.64
8.20;3;140.717;133.909;0.000;55.37;181.07
8.20;4;87.538;218.290;0.000;51.21;246.40
8.20;5;-48.064;123.162;0.000;56.22;0.25
8.20;6;178.741;134.620;0.000;53.15;181.07
8.20;7;198.028;134.981;0.000;53.44;181.07
8.20;8;-88.404;122.988;0.000;50.19;0.25
8.30;1;15.096;123.902;0.000;56.22;1.54
8.30;2;80.345;200.754;0.000;51.05;247.64
8.30;3;139.179;133.880;0.000;55.38;181.07
8.30;4;87.003;216.972;0.000;51.21;246.84
8.30;5;-46.501;123.169;0.000;56.29;0.25
8.30;6;177.264;134.592;0.000;53.15;181.07
8.30;7;196.544;134.953;0.000;53.44;181.07
8.30;8;-87.010;122.994;0.000;50.22;0.25
8.40;1;16.656;123.944;0.000;56.16;1.54
8.40;2;79.806;199.443;0.000;51.05;247.64
8.40;3;137.641;133.851;0.000;55.40;181.07
8.40;4;86.466;215.655;0.000;51.20;247.12
8.40;5;-44.937;123.175;0.000;56.35;0.25
8.40;6;175.788;134.565;0.000;53.15;181.07
8.40;7;195.060;134.925;0.000;53.43;181.07
8.40;8;-85.614;123.000;0.000;50.26;0.25
8.50;1;18.214;123.985;0.000;56.09;1.54
